Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-14 08:00:00,801.28,3163.68,0.00,0.00
2016-01-14 09:00:00,2286.55,1866.43,0.00,0.00
2016-01-14 10:00:00,3255.92,1380.01,0.00,0.00
2016-01-14 11:00:00,3681.65,1209.57,0.00,0.00
2016-01-14 12:00:00,3784.91,1386.50,0.00,0.00
2016-01-14 13:00:00,3745.02,1449.43,0.00,0.00
2016-01-14 14:00:00,3511.96,1441.01,0.00,0.00
2016-01-14 15:00:00,2877.75,2062.33,0.00,0.00
2016-01-14 16:00:00,1562.08,3260.94,0.00,0.00
2016-01-14 17:00:00,346.90,4631.88,0.00,0.00
2016-01-14 18:00:00,14.59,5858.20,0.00,0.00
2016-01-14 19:00:00,0.00,6265.41,0.00,0.00
2016-01-14 20:00:00,0.00,6389.84,0.00,0.00
2016-01-14 21:00:00,0.00,6404.58,0.00,0.00
2016-01-14 22:00:00,0.00,6190.76,0.00,0.00
2016-01-14 23:00:00,0.00,5779.70,0.00,0.00
2016-01-15 00:00:00,0.00,5002.74,0.00,0.00
2016-01-15 01:00:00,0.00,4573.25,0.00,0.00
2016-01-15 02:00:00,0.00,4281.09,0.00,0.00
2016-01-15 03:00:00,0.00,4150.21,0.00,0.00
2016-01-15 04:00:00,0.00,4084.78,0.00,0.00
2016-01-15 05:00:00,0.00,4115.19,0.00,0.00
2016-01-15 06:00:00,0.00,4195.37,0.00,0.00
2016-01-15 07:00:00,66.55,4655.09,0.00,0.00
2016-01-15 08:00:00,888.34,4767.86,0.00,0.00
2016-01-15 09:00:00,2535.72,3925.09,0.00,0.00
2016-01-15 10:00:00,3530.27,3374.77,0.00,0.00
2016-01-15 11:00:00,3911.15,3178.22,0.00,0.00
2016-01-15 12:00:00,4033.57,3125.85,0.00,0.00
2016-01-15 13:00:00,4008.85,2693.42,0.00,0.00
2016-01-15 14:00:00,3789.83,3046.08,0.00,0.00
2016-01-15 15:00:00,3139.95,3825.92,0.00,0.00
2016-01-15 16:00:00,1655.53,5267.94,0.00,0.00
2016-01-15 17:00:00,343.12,6610.77,0.00,0.00
2016-01-15 18:00:00,14.51,7273.02,0.00,0.00
2016-01-15 19:00:00,0.00,7563.10,0.00,0.00
2016-01-15 20:00:00,0.00,7530.85,0.00,0.00
2016-01-15 21:00:00,0.00,7323.47,0.00,0.00
2016-01-15 22:00:00,0.00,6967.71,0.00,0.00
2016-01-15 23:00:00,0.00,6542.83,0.00,0.00
2016-01-16 00:00:00,0.00,5663.57,0.00,0.00
2016-01-16 01:00:00,0.00,5065.42,0.00,0.00
2016-01-16 02:00:00,0.00,4711.50,0.00,0.00
2016-01-16 03:00:00,0.00,4530.86,0.00,0.00
2016-01-16 04:00:00,0.00,4449.75,0.00,0.00
2016-01-16 05:00:00,0.00,4417.49,0.00,0.00
2016-01-16 06:00:00,0.00,4451.60,0.00,0.00
2016-01-16 07:00:00,65.84,4766.40,0.00,0.00
2016-01-16 08:00:00,862.26,4862.14,0.00,0.00
2016-01-16 09:00:00,2481.03,4091.29,0.00,0.00
2016-01-16 10:00:00,3489.05,3434.42,0.00,0.00
2016-01-16 11:00:00,3892.33,3134.37,0.00,0.00
2016-01-16 12:00:00,4023.00,3078.35,0.00,0.00
2016-01-16 13:00:00,3982.38,2610.22,0.00,0.00
2016-01-16 14:00:00,3746.16,3049.20,0.00,0.00
2016-01-16 15:00:00,3070.20,3907.65,0.00,0.00
2016-01-16 16:00:00,1588.66,5323.75,0.00,0.00
2016-01-16 17:00:00,338.63,6596.83,0.00,0.00
2016-01-16 18:00:00,15.21,7287.07,0.00,0.00
2016-01-16 19:00:00,0.00,7586.14,0.00,0.00
2016-01-16 20:00:00,0.00,7559.42,0.00,0.00
2016-01-16 21:00:00,0.00,7293.98,0.00,0.00
2016-01-16 22:00:00,0.00,6963.11,0.00,0.00
2016-01-16 23:00:00,0.00,6515.18,0.00,0.00
2016-01-17 00:00:00,0.00,5688.46,0.00,0.00
2016-01-17 01:00:00,0.00,5078.32,0.00,0.00
2016-01-17 02:00:00,0.00,4745.60,0.00,0.00
2016-01-17 03:00:00,0.00,4554.82,0.00,0.00
